This file was generated by Console at 2021:05:28-00:00:01



[2021:05:28-00:04:26]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF0000CareCaldo2cb: eso no es zona segura?
[2021:05:28-00:04:26]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000ASH: .___.
[2021:05:28-00:04:27]  (Global) -> Happy: tombos*
[2021:05:28-00:04:29]  (Global) -> emaELN: que me mutiaron
[2021:05:28-00:04:29]  (Local) -> (LOCAL)[3]ElWosito'2cb: compartamos el dildo
[2021:05:28-00:04:29]  (Global) -> Estebanano:  JAJAJAJAJAA
[2021:05:28-00:04:30]  (Local) -> (LOCAL)[2]DARKAR: necesito plata y arrestos
[2021:05:28-00:04:35]  (Local) -> (LOCAL)[1]Aguapanela: :v
[2021:05:28-00:04:35]  (Local) -> (LOCAL)[2]laliendra: ooe me voy
[2021:05:28-00:04:36]  (Local) -> (LOCAL)[2]FLOREZINHO|CDG|: buitrago[CDG][4]
[2021:05:28-00:04:36]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000ASH: kaaaaa
[2021:05:28-00:04:36]  (Local) -> (LOCAL)[2]KING[ELN]: quien?
[2021:05:28-00:04:37]  (Global) -> LevelPanpipe54: swdddw
[2021:05:28-00:04:39]  (Local) -> (LOCAL)[1]biya'2cb: que rico
[2021:05:28-00:04:39]  (Local) -> (LOCAL)[2]FLOREZINHO|CDG|: le vendo el bandito
[2021:05:28-00:04:39]  (Local) -> (LOCAL)[1]CareXhimbaaawZcb: oe lizi ud q es ome
[2021:05:28-00:04:39]  (Local) -> (LOCAL)[1]Javier: paga mas criminales
[2021:05:28-00:04:40]  (Global) -> ELBARTO_[CDG]|#A016EFí ½í¸ˆ: #f00fff VENDO BULLET,TURISMO,RANCHER,YOSEMITE,SUNRISE 
[2021:05:28-00:04:40]  (Local) -> (LOCAL)[1]Gomita|Z: eso es cuestion de acostumbrarse
[2021:05:28-00:04:41]  (Global) -> Cacere$|AGC|#5EF5F7í ½í±»: no mentiras soy malo xd
[2021:05:28-00:04:42]  (Global) -> emaELN: ale la buena parcero
[2021:05:28-00:04:43]  (Local) -> (LOCAL)[1]biya'2cb: me vengo ohhhhhhhhhh
[2021:05:28-00:04:43]  (Local) -> (LOCAL)[1]CareXhimbaaawZcb: m tiene confunfifo
[2021:05:28-00:04:43]  (Global) -> #7F7F7F|ADM|#FF5C00Hmn|#CBFF00âœ˜ : bueno mucho spam
[2021:05:28-00:04:43]  (Local) -> (LOCAL)[1]braiderandres: uy
[2021:05:28-00:04:46]  (Local) -> (LOCAL)[2]FLOREZINHO|CDG|: ya se me acabo el vip xd
[2021:05:28-00:04:47]  (Local) -> (LOCAL)[2]buitrago[CDG]: no me gusta bro jaja
