This file was generated by Console at 2020:09:25-00:00:01



[2020:09:25-00:04:54]  (Local) -> (LOCAL)[1]_SEMDS_: ay gono
[2020:09:25-00:04:55]  (Global) -> [$BABY$]~La_Loli~: PODEMOS VERNOS
[2020:09:25-00:04:56]  (Global) -> [Z]VALLUNITXS_DEEJAY: Hoy se culea el boca al medellin
[2020:09:25-00:04:56]  (Local) -> (LOCAL)[4]2cb'JuanPablo: pidale 1 palo
[2020:09:25-00:04:57]  (Global) -> XxANDRESxX: VEO 
[2020:09:25-00:04:57]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000KevinOcampo: qq
[2020:09:25-00:04:58]  (Global) -> [CAPU]Santi:): sedms
[2020:09:25-00:04:59]  (Global) -> (BGW)camilop202: LLANERITO UN JAIL PORFA
[2020:09:25-00:04:59]  (Global) -> GTJhojan: admin
[2020:09:25-00:05:00]  (Local) -> (LOCAL)[1]_SEMDS_: mañana me veo con la q me gusta
[2020:09:25-00:05:00]  (Global) -> PunySnake51: BN GRACIAS
[2020:09:25-00:05:01]  (Local) -> (LOCAL)[4]2cb'JuanPablo: yo la compre en 800k
[2020:09:25-00:05:03]  (Global) -> GTJhojan: ddminwd+
[2020:09:25-00:05:03]  (Global) -> [CAPU]Santi:): esperemeeee
[2020:09:25-00:05:03]  (Local) -> (LOCAL)[1]_SEMDS_: NO ME ACORDABA
[2020:09:25-00:05:04]  (Global) -> (CTA)Jot4: no lo puedo ayudar pana 
[2020:09:25-00:05:05]  (Global) -> [Z]VALLUNITXS_DEEJAY: Hoy se culea el boca al medellin
[2020:09:25-00:05:05]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000KevinOcampo: SIII
[2020:09:25-00:05:06]  (Team - Criminals) -> (TEAM)XxANDRESxX: ME LLEVA AL HOSPITAL?
[2020:09:25-00:05:07]  (Local) -> (LOCAL)[3]GT|OLAVE: se salvo
[2020:09:25-00:05:07]  (Local) -> (LOCAL)[1]_SEMDS_: Y TENGO EL PIPI PELUDO
[2020:09:25-00:05:08]  (Local) -> (LOCAL)[4]2cb'SingleChamber: oe
