This file was generated by Console at 2020:10:23-00:00:01



[2020:10:23-00:04:19]  (Local) -> (LOCAL)[1]2cb_SCRIMBOY: ole pa
[2020:10:23-00:04:20]  (Local) -> (LOCAL)[4]NELSON_MANDELA: te curo
[2020:10:23-00:04:23]  (Local) -> (LOCAL)[4][Z]Lil.Dream: es esta
[2020:10:23-00:04:23]  (Local) -> (LOCAL)[1]2cb,El_marra: QUIEN
[2020:10:23-00:04:25]  (Local) -> (LOCAL)[2]C4rtex: siiiii
[2020:10:23-00:04:26]  (Local) -> (LOCAL)[3]CAPU|Pajizo: sisas
[2020:10:23-00:04:27]  (Local) -> (LOCAL)[1]2cb-SuPerraMadre: MAUS MLP
[2020:10:23-00:04:30]  (Global) -> |Yandrix|: fleteamos?
[2020:10:23-00:04:31]  (Local) -> (LOCAL)[2]C4rtex: oe
[2020:10:23-00:04:33]  (Global) -> DonHector: SERVICIO DE TAXI HPTAS
[2020:10:23-00:04:33]  (Local) -> (LOCAL)[2]2cb_SCRIMBOY: ci
[2020:10:23-00:04:34]  (Local) -> (LOCAL)[1]Katalina*_*P*: tu dime
[2020:10:23-00:04:35]  (Local) -> (LOCAL)[2]2cb_SCRIMBOY: dc?
[2020:10:23-00:04:36]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: rote
[2020:10:23-00:04:37]  (Global) -> |Yandrix|: vale
[2020:10:23-00:04:37]  (Local) -> (LOCAL)[2]C4rtex: pq se salio de 2cb?
[2020:10:23-00:04:40]  (Local) -> (LOCAL)[3][GT]LEANDRO: cacenw
[2020:10:23-00:04:40]  (Local) -> (LOCAL)[2]2cb_SCRIMBOY: tengo un pana que es nuevo
[2020:10:23-00:04:41]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Khausu: Te nos unes a matar tombos?
[2020:10:23-00:04:43]  (Local) -> (LOCAL)[5]2cb'SingleChamber: ai
[2020:10:23-00:04:44]  (Local) -> (LOCAL)[2]2cb_SCRIMBOY: lo metemos
[2020:10:23-00:04:48]  (Local) -> (LOCAL)[1]2cb-SuPerraMadre: BIEN
[2020:10:23-00:04:48]  (Local) -> (LOCAL)[2](EVG)TU_DIOSA: nah ya me canse de responde eso .-.
[2020:10:23-00:04:48]  (Local) -> (LOCAL)[1][Z]Lil.Dream: ps amor si la tenemos en el vip no creo que haga falta
[2020:10:23-00:04:49]  (Global) -> |Yandrix|: vale
[2020:10:23-00:04:50]  (Local) -> (LOCAL)[3]LoutishKangaroo88: melo el buseta
[2020:10:23-00:04:50]  (Team - Law Enforcement) -> (TEAM)|GT|~Omar25~: AMIGOS TOMBOS VENGAN A AMUNATION HAY DISTURBIOS
[2020:10:23-00:04:50]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: si unete
[2020:10:23-00:04:51]  (Local) -> (LOCAL)[2]2cb_SCRIMBOY: el es de muchisima confianza
[2020:10:23-00:04:51]  (Local) -> (LOCAL)[2]CAPU|Pajizo: si unu
[2020:10:23-00:04:53]  (Local) -> (LOCAL)[3]carlos: luisito es gei
[2020:10:23-00:04:54]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Khausu: Dale
[2020:10:23-00:04:54]  (Global) -> |Yandrix|: si tiene moto
[2020:10:23-00:04:55]  (Team - Services) -> (TEAM)[S.A.S][CAD]Rodriguez: ya termino?
[2020:10:23-00:04:55]  (Local) -> (LOCAL)[2]C4rtex: a mi no me ha dicho
[2020:10:23-00:04:56]  (Global) -> 2cb'Royal: Donde queda el trabajo de taxi?
[2020:10:23-00:04:58]  (Local) -> (LOCAL)[2]2cb_SCRIMBOY: es nuevo
[2020:10:23-00:05:00]  (Local) -> (LOCAL)[2]2cb_SCRIMBOY: xd
[2020:10:23-00:05:02]  (Local) -> (LOCAL)[1][S.A.S][CAD]Coziud: si ya voy por otra jajjaa
[2020:10:23-00:05:03]  (Local) -> (LOCAL)[1]Katalina*_*P*: porque quedan varios coches aun si quieres los vendemos
[2020:10:23-00:05:03]  (Global) -> 2cb'Royal: COMPRO NISSAN GTR
[2020:10:23-00:05:04]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: atajalo
[2020:10:23-00:05:07]  (Local) -> (LOCAL)[2]2cb_SCRIMBOY: entro hace como 2 horas
[2020:10:23-00:05:08]  (Team - Services) -> (TEAM)[S.A.S][CAD]Rodriguez: le rindio jajajaj
[2020:10:23-00:05:09]  (Team - Services) -> (TEAM)S.A.S[CAD]paulo: NO
[2020:10:23-00:05:09]  (Global) -> kana: vendo
[2020:10:23-00:05:10]  (Local) -> (LOCAL)[7]Kundi: haski
[2020:10:23-00:05:10]  (Global) -> 2cb'pablitopai: saludeme
[2020:10:23-00:05:12]  (Global) -> luisito: que es la monda mlp
[2020:10:23-00:05:13]  (Local) -> (LOCAL)[1][Z]Lil.Dream: si quedan artos
