This file was generated by Console at 2021:01:19-00:00:00



[2021:01:19-00:06:06]  (Local) -> (LOCAL)[6]TIROFIJO420: OLEEEEE
[2021:01:19-00:06:07]  (Global) -> keving: ME VALE NECESITO MONEY
[2021:01:19-00:06:08]  (Local) -> (LOCAL)[4](RCA)-D-a-v-i-d: VAMOS A LA TIENDA DE MOTOS Y LE DIGO CUAL
[2021:01:19-00:06:08]  (Global) -> kevin07: no me meta a la carce
[2021:01:19-00:06:10]  (Local) -> (LOCAL)[2]PININA^SAYAYIN: uffff
[2021:01:19-00:06:10]  (Team - Law Enforcement) -> (TEAM)TIROFIJO420: EZ
[2021:01:19-00:06:13]  (Local) -> (LOCAL)[5]ZEUS|Z: ghracias
[2021:01:19-00:06:15]  (Local) -> (LOCAL)[2]TINLDS: Un melo asqueroso
[2021:01:19-00:06:18]  (Local) -> (LOCAL)[4]Stivenv28[Z]: eso
[2021:01:19-00:06:19]  (Local) -> (LOCAL)[4]Stivenv28[Z]: ajajajajaja
[2021:01:19-00:06:20]  (Local) -> (LOCAL)[2]PININA^SAYAYIN: el que ud quiera papi
[2021:01:19-00:06:21]  (Local) -> (LOCAL)[3]CHUMY: /resign
[2021:01:19-00:06:23]  (Local) -> (LOCAL)[6]{ak},francovillar: poper
[2021:01:19-00:06:24]  (Local) -> (LOCAL)[2]2cb/MINI: ahora acemos el transpaso
[2021:01:19-00:06:25]  (Local) -> (LOCAL)[2]COPETON: :(
[2021:01:19-00:06:25]  (Global) -> Asario!: ????????????
[2021:01:19-00:06:26]  (Global) -> Buitre[2cB]: admin me da jail porfa
[2021:01:19-00:06:27]  (Local) -> (LOCAL)[2]PININA^SAYAYIN: todos me gustan
